epoch,Training Loss,Validation Loss,Validation Accuracy
1,0.7564790571143605,0.54147503893454,0.7802197802197802
2,0.4625280827002705,0.5304314709462963,0.7760989010989011
3,0.3363160711344121,0.542959271469614,0.7747252747252747
4,0.2645339569832497,0.5148544438838304,0.8131868131868132
